地点番号,地点名,国名,緯度,経度,日平均気温,日最高気温,日最低気温,日降水量
01001,ヤンマイエン島,ノルウェー,70.92,-8.67,-2.5,-0.2,-9.8,6.0
01002,VERLEGENHUKEN,ノルウェー,80.05,16.25,-2.9,,,
01003,HORNSUND,ノルウェー,77.00,15.50,-0.8,0.6,-3.7,0.6
01006,エドゲ島,ノルウェー,78.25,22.82,-1.6,,,
01007,ニューオーレースン,ノルウェー,78.92,11.92,-2.1,2.1,-6.7,9.0
01008,スバールバル諸島,ノルウェー,78.25,15.47,-0.4,2.9,-4.9,0.2
01009,KARLXIIOYA,ノルウェー,80.65,25.00,-1.1,,,
01010,アネヤ空港（アン島）,ノルウェー,69.30,16.12,,,,0.8
01011,KVITOYA,ノルウェー,80.07,31.50,-2.9,,,
01015,HEKKINGENLH,ノルウェー,69.60,17.83,-3.4,-2.6,-4.0,
01016,KONGSOYA,ノルウェー,78.92,28.88,-1.9,-0.6,-4.6,
01017,AKSELOYA,ノルウェー,77.68,14.78,-0.3,2.3,-3.9,
01020,SORKAPPOYA,ノルウェー,76.47,16.53,0.1,,,
01023,バルフォス飛行場,ノルウェー,69.05,18.53,-13.0,-9.5,-15.4,0.0
01024,PYRAMIDEN,ノルウェー,78.65,16.35,-0.5,2.4,-5.4,
01025,トロムス/LANGNES,ノルウェー,69.67,18.90,-3.6,-3.1,-4.4,0.0
01026,トロムス,ノルウェー,69.65,18.93,-4.2,-3.8,-5.0,1.0
01027,TROMSO-HOLT,ノルウェー,69.65,18.90,-3.5,-3.0,-4.2,0.0
01028,ヴェルネイヤ,ノルウェー,74.52,19.00,-0.6,0.2,-2.9,0.2
01033,TORSVAGLH,ノルウェー,70.23,19.50,0.4,0.3,-1.0,
01035,LYNGENGJERDVASSBU,ノルウェー,69.55,20.08,-8.3,-4.8,-12.2,
01037,SKIBOTN2,ノルウェー,69.38,20.27,-7.2,-6.3,-8.1,0.0
01043,ROGNSUNDET,ノルウェー,70.40,22.82,-5.4,-4.4,-6.6,
01044,HASVIKAP,ノルウェー,70.48,22.13,-1.8,-1.1,-3.1,
